DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1962,1.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1963,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1964,-0.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1965,0.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1966,0.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1967,-0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1968,2.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1969,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1970,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1971,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1972,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1973,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1974,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1975,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1976,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1977,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1978,-2.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1979,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1980,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1981,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1982,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1983,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1984,0.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1985,-1.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1986,-0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1987,0.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1988,-2.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1989,7.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1990,-12.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1991,-38.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1992,-10.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1993,-35.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1994,-9.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1995,-37.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1996,-8.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1997,-34.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1998,-5.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,1999,-34.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2000,-9.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2001,-14.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2002,-12.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2003,-12.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2004,-12.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2005,-12.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2006,-13.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2007,-14.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2008,-13.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2009,-10.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2010,-8.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2011,-6.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2012,-6.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2013,-7.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2014,-7.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2015,-7.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2016,-3.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2017,-5.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2018,-5.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2019,-8.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2020,-5.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2021,-11.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Albania,2022,-11.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,1996,-8.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,1997,-8.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,1998,-6.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,1999,-5.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2000,-6.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2001,-3.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2002,-2.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2003,-2.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2004,-2.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2005,-2.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2006,-2.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2007,-1.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2008,-1.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2009,-1.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2010,-1.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2011,-1.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2015,-8.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2016,-8.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2017,-8.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2018,-6.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2019,-5.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2020,1.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Armenia,2023,0.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1960,-0.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1961,-0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1962,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1963,0.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1964,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1965,1.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1966,2.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1967,2.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1968,-0.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1969,0.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1970,1.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1971,4.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1972,4.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1973,4.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1974,-2.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1975,-3.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1976,1.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1977,1.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1978,-1.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1979,-0.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1980,1.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1981,3.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1982,-3.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1983,-0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1984,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1985,0.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1986,0.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1987,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1988,1.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1989,5.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1990,7.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1991,9.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1992,9.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1993,4.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1994,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1995,0.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1996,0.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1997,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1998,1.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,1999,2.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2000,2.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2001,5.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2002,4.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2003,5.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2004,6.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2005,6.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2006,3.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2007,2.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2008,2.9,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2009,2.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2010,2.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2011,3.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2012,5.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2013,6.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2014,8.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2015,13.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2016,7.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2017,5.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2018,4.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2019,4.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2020,4.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2021,5.8,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2022,15.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Austria,2023,7.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,1996,-1.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,1997,-1.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,1998,-0.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,1999,-0.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2000,-0.7,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2001,-0.6,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2002,-0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2003,-0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2004,-0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2005,-0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2006,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2007,-0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2008,19.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2009,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2010,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2011,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2012,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2013,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2014,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2015,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2016,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2017,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2018,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2019,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2020,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2021,0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2022,-9.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Azerbaijan,2023,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1960,-7.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1961,-4.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1962,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1963,-0.2,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1964,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1965,0.4,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1966,0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1967,-0.1,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1968,-25.5,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1969,-29.3,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1970,-2.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1971,0.0,
ESTAT:DEMO_GIND(1.0),08/11/24 23:00:00,Annual,Crude rate of net migration plus statistical adjustment,Bosnia and Herzegovina,1972,0.2,
